# r_pc rho_Msun_pc3 sigma1d_kms pressure_rho_sigma2 N_scatter_per_orbit
2.899726171133e-06 1.073888817863e+10 4.871644495201e+04 2.548651749734e+19 7.301970660911e-08
2.919989231846e-06 1.062729973528e+10 4.854711857820e+04 2.504666149222e+19 7.374541388696e-08
2.940393889249e-06 1.051687081459e+10 4.837838074171e+04 2.461439669050e+19 7.447831058543e-08
2.960941132810e-06 1.040758936789e+10 4.821022939692e+04 2.418959208028e+19 7.521846767306e-08
2.981631958909e-06 1.029944347171e+10 4.804266250534e+04 2.377211891069e+19 7.596595681609e-08
3.002467370890e-06 1.019242132647e+10 4.787567803554e+04 2.336185065292e+19 7.672085038530e-08
3.023448379107e-06 1.008651125519e+10 4.770927396318e+04 2.295866296182e+19 7.748322146289e-08
3.044576000977e-06 9.981701702240e+09 4.754344827094e+04 2.256243363825e+19 7.825314384944e-08
3.065851261023e-06 9.877981232070e+09 4.737819894850e+04 2.217304259203e+19 7.903069207096e-08
3.087275190929e-06 9.775338527946e+09 4.721352399255e+04 2.179037180554e+19 7.981594138598e-08
3.108848829590e-06 9.673762390731e+09 4.704942140673e+04 2.141430529795e+19 8.060896779269e-08
3.130573223158e-06 9.573241737658e+09 4.688588920162e+04 2.104472909007e+19 8.140984803622e-08
3.152449425097e-06 9.473765601123e+09 4.672292539473e+04 2.068153116981e+19 8.221865961589e-08
3.174478496232e-06 9.375323127488e+09 4.656052801044e+04 2.032460145824e+19 8.303548079265e-08
3.196661504801e-06 9.277903575893e+09 4.639869508000e+04 1.997383177620e+19 8.386039059650e-08
3.218999526506e-06 9.181496317088e+09 4.623742464151e+04 1.962911581152e+19 8.469346883399e-08
3.241493644568e-06 9.086090832275e+09 4.607671473989e+04 1.929034908684e+19 8.553479609585e-08
3.264144949776e-06 8.991676711954e+09 4.591656342685e+04 1.895742892787e+19 8.638445376464e-08
3.286954540540e-06 8.898243654792e+09 4.575696876087e+04 1.863025443233e+19 8.724252402251e-08
3.309923522949e-06 8.805781466498e+09 4.559792880719e+04 1.830872643937e+19 8.810908985901e-08
3.333053010819e-06 8.714280058710e+09 4.543944163775e+04 1.799274749946e+19 8.898423507895e-08
3.356344125749e-06 8.623729447896e+09 4.528150533123e+04 1.768222184492e+19 8.986804431044e-08
3.379797997177e-06 8.534119754263e+09 4.512411797296e+04 1.737705536085e+19 9.076060301289e-08
3.403415762432e-06 8.445441200679e+09 4.496727765492e+04 1.707715555663e+19 9.166199748514e-08
3.427198566792e-06 8.357684111608e+09 4.481098247574e+04 1.678243153787e+19 9.257231487369e-08
3.451147563537e-06 8.270838912050e+09 4.465523054065e+04 1.649279397887e+19 9.349164318098e-08
3.475263914007e-06 8.184896126505e+09 4.450001996147e+04 1.620815509556e+19 9.442007127372e-08
3.499548787656e-06 8.099846377927e+09 4.434534885659e+04 1.592842861888e+19 9.535768889140e-08
3.524003362112e-06 8.015680386714e+09 4.419121535091e+04 1.565352976862e+19 9.630458665477e-08
3.548628823229e-06 7.932388969684e+09 4.403761757587e+04 1.538337522775e+19 9.726085607447e-08
3.573426365152e-06 7.849963039080e+09 4.388455366942e+04 1.511788311716e+19 9.822658955973e-08
3.598397190367e-06 7.768393601576e+09 4.373202177595e+04 1.485697297083e+19 9.920188042717e-08
3.623542509764e-06 7.687671757298e+09 4.358002004632e+04 1.460056571147e+19 1.001868229096e-07
3.648863542696e-06 7.607788698848e+09 4.342854663781e+04 1.434858362651e+19 1.011815121651e-07
3.674361517034e-06 7.528735710348e+09 4.327759971410e+04 1.410095034461e+19 1.021860442858e-07
3.700037669231e-06 7.450504166489e+09 4.312717744527e+04 1.385759081244e+19 1.032005163074e-07
3.725893244381e-06 7.373085531585e+09 4.297727800774e+04 1.361843127200e+19 1.042250262181e-07
3.751929496277e-06 7.296471358647e+09 4.282789958428e+04 1.338339923821e+19 1.052596729679e-07
3.778147687474e-06 7.220653288457e+09 4.267904036397e+04 1.315242347697e+19 1.063045564782e-07
3.804549089350e-06 7.145623048661e+09 4.253069854220e+04 1.292543398359e+19 1.073597776510e-07
3.831134982166e-06 7.071372452862e+09 4.238287232060e+04 1.270236196151e+19 1.084254383788e-07
3.857906655132e-06 6.997893399728e+09 4.223555990709e+04 1.248313980152e+19 1.095016415540e-07
3.884865406464e-06 6.925177872110e+09 4.208875951579e+04 1.226770106121e+19 1.105884910789e-07
3.912012543451e-06 6.853217936164e+09 4.194246936704e+04 1.205598044487e+19 1.116860918753e-07
3.939349382518e-06 6.782005740488e+09 4.179668768736e+04 1.184791378371e+19 1.127945498948e-07
3.966877249287e-06 6.711533515265e+09 4.165141270944e+04 1.164343801634e+19 1.139139721283e-07
3.994597478647e-06 6.641793571413e+09 4.150664267211e+04 1.144249116976e+19 1.150444666170e-07
4.022511414811e-06 6.572778299749e+09 4.136237582031e+04 1.124501234048e+19 1.161861424616e-07
4.050620411387e-06 6.504480170157e+09 4.121861040511e+04 1.105094167615e+19 1.173391098337e-07
4.078925831443e-06 6.436891730769e+09 4.107534468363e+04 1.086022035733e+19 1.185034799855e-07
4.107429047570e-06 6.370005607145e+09 4.093257691906e+04 1.067279057974e+19 1.196793652606e-07
4.136131441953e-06 6.303814501479e+09 4.079030538062e+04 1.048859553670e+19 1.208668791048e-07
