# r[pc] rho[Msun/pc3] sigma[km/s] N gamma
1.497626641648062389e+02 1.769803451389101667e+00 3.108549962078900819e+01 3.478851137729324705e+01 8.567042034517591276e-01
1.523797099541689022e+02 1.743397063454798390e+00 3.107874414008271202e+01 3.486829432097901105e+01 8.790158825718883406e-01
1.550537015746851068e+02 1.716603592877687268e+00 3.107179325963855021e+01 3.493489209645738214e+01 9.017879609379555461e-01
1.577864522850316291e+02 1.689429893060737431e+00 3.106464156969164137e+01 3.498784036404943976e+01 9.250227947067646284e-01
1.605798590292127983e+02 1.661883644864455611e+00 3.105728352031468020e+01 3.502667692582931380e+01 9.487222473571161885e-01
1.634359073412153975e+02 1.633973384994118261e+00 3.104971341802683327e+01 3.505094304428764929e+01 9.728876513532203063e-01
1.663566765816939608e+02 1.605708533557012041e+00 3.104192542230491725e+01 3.506018484773702681e+01 9.975197678894289766e-01
1.693443455363248233e+02 1.577099420597452895e+00 3.103391354198937790e+01 3.505395482469216262e+01 1.022618744675664715e+00
1.724011984005136924e+02 1.548157311399082081e+00 3.102567163157397090e+01 3.503181340741120664e+01 1.048184071934832318e+00
1.755296311829734748e+02 1.518894430336905632e+00 3.101719338736957354e+01 3.499333064567986895e+01 1.074214536459823677e+00
1.787321585578008296e+02 1.489323983047911693e+00 3.100847234352993453e+01 3.493808797030661140e+01 1.100708173657654498e+00
1.820114212032041507e+02 1.459460176672451759e+00 3.099950186792439055e+01 3.486568004638267837e+01 1.127662217535895905e+00
1.853701936631394176e+02 1.429318237901690214e+00 3.099027515783993536e+01 3.477571671466070313e+01 1.155073048907148348e+00
1.888113927734426341e+02 1.398914428565377843e+00 3.098078523549417795e+01 3.466782501946084238e+01 1.182936141237499683e+00
1.923380866995184704e+02 1.368266058462506152e+00 3.097102494333334732e+01 3.454165132066329846e+01 1.211246004845815349e+00
1.959535046302823105e+02 1.337391495145251907e+00 3.096098693909046062e+01 3.439686348584699971e+01 1.239996128802651754e+00
1.996610471868046375e+02 1.306310170338140120e+00 3.095066369056956646e+01 3.423315315909999157e+01 1.269178921196082221e+00
2.034642975951571771e+02 1.275042582682446302e+00 3.094004747012175116e+01 3.405023810008100327e+01 1.298785647027156820e+00
2.073670336962786109e+02 1.243610296462312803e+00 3.092913034876461253e+01 3.384786458849904989e+01 1.328806364694884223e+00
2.113732408473726423e+02 1.212035935986710555e+00 3.091790418989833711e+01 3.362580988458105224e+01 1.359229860426545144e+00
2.154871258013942850e+02 1.180343175279118029e+00 3.090636064255623694e+01 3.338388473896286968e+01 1.390043581009540397e+00
2.197131316315160348e+02 1.148556722725411205e+00 3.089449113411890835e+01 3.312193593983899120e+01 1.421233565349428130e+00
2.240559537949149558e+02 1.116702300344313281e+00 3.088228686241502530e+01 3.283984888770827837e+01 1.452784374058546657e+00
2.285205574236023267e+02 1.084806617320667188e+00 3.086973878710812613e+01 3.253755018362689100e+01 1.484679018312274446e+00
2.331121959455552712e+02 1.052897337467614713e+00 3.085683762026117449e+01 3.221501021717712376e+01 1.516898887617750269e+00
2.378364311409541756e+02 1.021003040286740937e+00 3.084357381595002323e+01 3.187224573762508584e+01 1.549423676887161649e+00
2.426991547534307472e+02 9.891531753064186638e-01 3.082993755877539144e+01 3.150932239098075627e+01 1.582231313011716711e+00
2.477066117805272540e+02 9.573780093908311750e-01 3.081591875109586454e+01 3.112635720307123677e+01 1.615297881738409158e+00
2.528654255782768985e+02 9.257085667461012468e-01 3.080150699878182508e+01 3.072352098751458271e+01 1.648597554939072785e+00
2.581826249243139273e+02 8.941765613740718655e-01 3.078669159525547983e+01 3.030104065553895154e+01 1.682102518453707951e+00
2.636656731998967302e+02 8.628143217421333500e-01 3.077146150353853926e+01 2.985920140290036784e+01 1.715782902278399469e+00
2.693224998461340647e+02 8.316547075103689624e-01 3.075580533600012956e+01 2.939834874653840302e+01 1.749606712317394397e+00
2.751615342846739622e+02 8.007310181747495648e-01 3.073971133143656687e+01 2.891889038375772003e+01 1.783539765285846457e+00
2.811917424780806414e+02 7.700768935499677781e-01 3.072316732906249825e+01 2.842129784226527534e+01 1.817545627822717336e+00
2.874226663371128438e+02 7.397262060872454859e-01 3.070616073893533837e+01 2.790610789057910068e+01 1.851585560171931100e+00
2.938644661746819793e+02 7.097129450845023335e-01 3.068867850825946419e+01 2.737392367460710574e+01 1.885618466020161144e+00
3.005279664309567806e+02 6.800710929300534113e-01 3.067070708294022552e+01 2.682541554666612882e+01 1.919600849399373921e+00
3.074247048892037242e+02 6.508344936057786079e-01 3.065223236366627191e+01 2.626132155064539830e+01 1.953486780758296959e+00
3.145669856137799911e+02 6.220367137890395748e-01 3.063323965571078134e+01 2.568244752745354376e+01 1.987227872739502743e+00
3.219679358470475563e+02 5.937108969825806160e-01 3.061371361152603399e+01 2.508966680389514892e+01 2.020773268430346548e+00
3.296415670935112985e+02 5.658896112344526941e-01 3.059363816509882383e+01 2.448391942800303767e+01 2.054069643418133140e+00
3.376028406257116785e+02 5.386046911296055173e-01 3.057299645691023571e+01 2.386621091499895542e+01 2.087061224109955759e+00
